Sequence 1,Sequence 2,Player 1 Wins,Player 2 Wins,Player 1 Win %,Player 2 Win %
000,001,361603,510470,36.16,51.05
000,010,401158,499479,40.12,49.95
000,011,330943,519062,33.09,51.91
000,100,361242,510480,36.12,51.05
000,101,376888,485568,37.69,48.56
000,110,330749,518914,33.07,51.89
000,111,395182,394413,39.52,39.44
001,000,510470,361603,51.05,36.16
001,010,441617,404263,44.16,40.43
001,011,389233,390488,38.92,39.05
001,100,189936,190355,18.99,19.04
001,101,446041,426711,44.6,42.67
001,110,391444,392141,39.14,39.21
001,111,518842,331216,51.88,33.12
010,000,499479,401158,49.95,40.12
010,001,404263,441617,40.43,44.16
010,011,425421,447371,42.54,44.74
010,100,404144,441523,40.41,44.15
010,101,386972,387752,38.7,38.78
010,110,425362,447140,42.54,44.71
010,111,485126,377025,48.51,37.7
011,000,519062,330943,51.91,33.09
011,001,390488,389233,39.05,38.92
011,010,447371,425421,44.74,42.54
011,100,392777,391735,39.28,39.17
011,101,441617,404361,44.16,40.44
011,110,190239,189542,19.02,18.95
011,111,510998,361237,51.1,36.12
100,000,510480,361242,51.05,36.12
100,001,190355,189936,19.04,18.99
100,010,441523,404144,44.15,40.41
100,011,391735,392777,39.17,39.28
100,101,446064,426490,44.61,42.65
100,110,389239,390239,38.92,39.02
100,111,518736,330825,51.87,33.08
101,000,485568,376888,48.56,37.69
101,001,426711,446041,42.67,44.6
101,010,387752,386972,38.78,38.7
101,011,404361,441617,40.44,44.16
101,100,426490,446064,42.65,44.61
101,110,404280,441630,40.43,44.16
101,111,499931,401021,49.99,40.1
110,000,518914,330749,51.89,33.07
110,001,392141,391444,39.21,39.14
110,010,447140,425362,44.71,42.54
110,011,189542,190239,18.95,19.02
110,100,390239,389239,39.02,38.92
110,101,441630,404280,44.16,40.43
110,111,510931,361362,51.09,36.14
111,000,394413,395182,39.44,39.52
111,001,331216,518842,33.12,51.88
111,010,377025,485126,37.7,48.51
111,011,361237,510998,36.12,51.1
111,100,330825,518736,33.08,51.87
111,101,401021,499931,40.1,49.99
111,110,361362,510931,36.14,51.09
